                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     85,                0.86686,                0.49127,                0.99495,                0.78966,                0.79365,                0.82598,                0.58121,                0.83442,                0.47942,                 1.0274,             0.00018709,             0.00018709,             0.00018709
                     86,                0.86562,                0.49185,                0.99313,                0.80435,                0.79381,                0.82744,                 0.5539,                0.83329,                0.48555,                 1.0272,             0.00017609,             0.00017609,             0.00017609
                     87,                0.86223,                0.48916,                0.99118,                0.80598,                0.78922,                0.83136,                0.56509,                0.83264,                0.47978,                 1.0267,             0.00016509,             0.00016509,             0.00016509
                     88,                 0.8661,                0.48986,                0.99744,                0.80941,                0.80159,                 0.8314,                0.57308,                0.82914,                0.47968,                 1.0259,              0.0001541,              0.0001541,              0.0001541
                     89,                0.85201,                0.48173,                0.98831,                0.84879,                0.79656,                0.82567,                0.56414,                0.82938,                0.47619,                 1.0261,              0.0001431,              0.0001431,              0.0001431
                     90,                0.85653,                0.48388,                0.99146,                0.80744,                0.79489,                0.82887,                0.57056,                0.83056,                0.48135,                 1.0267,              0.0001321,              0.0001321,              0.0001321
                     91,                0.83884,                0.46207,                 1.0106,                0.80952,                0.80245,                0.82916,                0.57663,                0.83327,                0.47877,                 1.0258,              0.0001211,              0.0001211,              0.0001211
                     92,                0.83203,                0.45688,                 1.0067,                0.76873,                0.80751,                0.82938,                 0.5714,                0.82889,                0.47528,                 1.0249,              0.0001101,              0.0001101,              0.0001101
                     93,                0.82425,                0.45621,                 1.0067,                0.77799,                0.81656,                0.83044,                0.56093,                0.82943,                0.47715,                 1.0252,             9.9101e-05,             9.9101e-05,             9.9101e-05
                     94,                 0.8205,                0.45261,                 1.0066,                0.81932,                0.80915,                 0.8337,                0.56094,                 0.8269,                0.47784,                 1.0239,             8.8102e-05,             8.8102e-05,             8.8102e-05
                     95,                 0.8163,                0.45165,                 1.0046,                0.83565,                   0.79,                0.83081,                0.57388,                0.82588,                 0.4754,                 1.0246,             7.7103e-05,             7.7103e-05,             7.7103e-05
                     96,                0.81723,                0.45038,                 1.0069,                0.82306,                 0.7864,                0.83083,                0.57261,                0.81982,                0.47368,                 1.0215,             6.6105e-05,             6.6105e-05,             6.6105e-05
                     97,                0.81169,                0.44726,                 1.0037,                0.80205,                0.81645,                0.83415,                0.57178,                0.82387,                0.47321,                 1.0234,             5.5106e-05,             5.5106e-05,             5.5106e-05
                     98,                0.81556,                0.44658,                0.99754,                0.81688,                0.79155,                0.83301,                0.57843,                0.81972,                0.47342,                  1.021,             4.4107e-05,             4.4107e-05,             4.4107e-05
                     99,                 0.8124,                0.44822,                 1.0043,                0.80981,                0.80929,                0.83417,                0.57363,                0.82046,                0.47416,                 1.0214,             3.3108e-05,             3.3108e-05,             3.3108e-05
                    100,                0.80994,                0.44531,                0.99929,                0.79576,                0.81439,                0.83514,                0.57365,                 0.8191,                 0.4743,                 1.0209,             2.2109e-05,             2.2109e-05,             2.2109e-05
